******************************* K-fold cross-validation ： 1 ******************************* 
C :3 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 63
C :3 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 62
C :4 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 40
C :4 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 40
C :4 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 41
C :4 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 44
C :4 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 49
C :4 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 52
C :4 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 55
C :4 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 56
C :4 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 59
C :4 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 61
C :5 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 40
C :5 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 39
C :5 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 40
C :5 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 43
C :5 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 46
C :5 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 50
C :5 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 53
C :5 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 56
C :5 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 56
C :5 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 59
C :6 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 40
C :6 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 39
C :6 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 40
C :6 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 41
C :6 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 45
C :6 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 48
C :6 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 51
C :6 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 55
C :6 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 56
C :6 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 56
C :7 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 40
C :7 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 39
C :7 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 39
C :7 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 41
C :7 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 44
C :7 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 47
C :7 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 50
C :7 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 53
C :7 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 55
C :7 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 56
C :8 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 38
C :8 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 39
C :8 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 40
C :8 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 39
C :8 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 43
C :8 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 46
C :8 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 49
C :8 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 51
C :8 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 53
C :8 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 56
C :9 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 35
C :9 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 39
C :9 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 39
C :9 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 39
C :9 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 42
C :9 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 45
C :9 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 48
C :9 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 50
C :9 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 53
C :9 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 54
C :10 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 36
C :10 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 39
C :10 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 39
C :10 , Sigma: 0.4 , resultLoss: 0.11111 , Support Vectors: 39
C :10 , Sigma: 0.5 , resultLoss: 0.11111 , Support Vectors: 41
C :10 , Sigma: 0.6 , resultLoss: 0.11111 , Support Vectors: 44
C :10 , Sigma: 0.7 , resultLoss: 0.11111 , Support Vectors: 47
C :10 , Sigma: 0.8 , resultLoss: 0.11111 , Support Vectors: 49
C :10 , Sigma: 0.9 , resultLoss: 0.11111 , Support Vectors: 51
C :10 , Sigma: 1 , resultLoss: 0.11111 , Support Vectors: 53
C :11 , Sigma: 0.1 , resultLoss: 0.11111 , Support Vectors: 35
C :11 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 39
C :11 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 39
C :11 , Sigma: 0.4 , resultLoss: 0.11111 , Support Vectors: 39
C :11 , Sigma: 0.5 , resultLoss: 0.11111 , Support Vectors: 40
C :11 , Sigma: 0.6 , resultLoss: 0.11111 , Support Vectors: 43
C :11 , Sigma: 0.7 , resultLoss: 0.11111 , Support Vectors: 47
C :11 , Sigma: 0.8 , resultLoss: 0.11111 , Support Vectors: 48
C :11 , Sigma: 0.9 , resultLoss: 0.11111 , Support Vectors: 50
C :11 , Sigma: 1 , resultLoss: 0.11111 , Support Vectors: 53
C :12 , Sigma: 0.1 , resultLoss: 0.11111 , Support Vectors: 35
C :12 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 38
C :12 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 38
C :12 , Sigma: 0.4 , resultLoss: 0.11111 , Support Vectors: 39
C :12 , Sigma: 0.5 , resultLoss: 0.11111 , Support Vectors: 40
C :12 , Sigma: 0.6 , resultLoss: 0.11111 , Support Vectors: 43
C :12 , Sigma: 0.7 , resultLoss: 0.11111 , Support Vectors: 45
C :12 , Sigma: 0.8 , resultLoss: 0.11111 , Support Vectors: 48
C :12 , Sigma: 0.9 , resultLoss: 0.11111 , Support Vectors: 50
C :12 , Sigma: 1 , resultLoss: 0.11111 , Support Vectors: 51
C :13 , Sigma: 0.1 , resultLoss: 0.11111 , Support Vectors: 35
C :13 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 37
C :13 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 38
C :13 , Sigma: 0.4 , resultLoss: 0.11111 , Support Vectors: 39
C :13 , Sigma: 0.5 , resultLoss: 0.11111 , Support Vectors: 40
C :13 , Sigma: 0.6 , resultLoss: 0.11111 , Support Vectors: 43
C :13 , Sigma: 0.7 , resultLoss: 0.11111 , Support Vectors: 44
C :13 , Sigma: 0.8 , resultLoss: 0.11111 , Support Vectors: 48
C :13 , Sigma: 0.9 , resultLoss: 0.11111 , Support Vectors: 48
C :13 , Sigma: 1 , resultLoss: 0.11111 , Support Vectors: 50
C :14 , Sigma: 0.1 , resultLoss: 0.11111 , Support Vectors: 35
C :14 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 37
C :14 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 38
C :14 , Sigma: 0.4 , resultLoss: 0.11111 , Support Vectors: 39
C :14 , Sigma: 0.5 , resultLoss: 0.11111 , Support Vectors: 39
C :14 , Sigma: 0.6 , resultLoss: 0.11111 , Support Vectors: 42
C :14 , Sigma: 0.7 , resultLoss: 0.11111 , Support Vectors: 44
C :14 , Sigma: 0.8 , resultLoss: 0.11111 , Support Vectors: 47
C :14 , Sigma: 0.9 , resultLoss: 0.11111 , Support Vectors: 48
C :14 , Sigma: 1 , resultLoss: 0.11111 , Support Vectors: 50
C :15 , Sigma: 0.1 , resultLoss: 0.11111 , Support Vectors: 36
C :15 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 37
C :15 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 39
C :15 , Sigma: 0.4 , resultLoss: 0.11111 , Support Vectors: 39
C :15 , Sigma: 0.5 , resultLoss: 0.11111 , Support Vectors: 39
C :15 , Sigma: 0.6 , resultLoss: 0.11111 , Support Vectors: 41
C :15 , Sigma: 0.7 , resultLoss: 0.11111 , Support Vectors: 44
C :15 , Sigma: 0.8 , resultLoss: 0.11111 , Support Vectors: 47
C :15 , Sigma: 0.9 , resultLoss: 0.11111 , Support Vectors: 48
C :15 , Sigma: 1 , resultLoss: 0.11111 , Support Vectors: 50
C :16 , Sigma: 0.1 , resultLoss: 0.11111 , Support Vectors: 36
C :16 , Sigma: 0.2 , resultLoss: 0.11111 , Support Vectors: 36
C :16 , Sigma: 0.3 , resultLoss: 0.11111 , Support Vectors: 39
