******************************* K-fold cross-validation ： 1 ******************************* 
C : 8 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 54
C : 9 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 60
C : 9 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 57
C : 9 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 53
C : 10 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 61
C : 10 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 56
C : 10 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 53
C : 11 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 60
C : 11 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 56
C : 11 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 53
C : 12 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 59
C : 12 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 55
C : 12 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 53
C : 13 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 59
C : 13 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 55
C : 13 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 52
C : 14 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 59
C : 14 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 55
C : 14 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 52
C : 15 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 58
C : 15 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 55
C : 15 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 52
C : 16 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 58
C : 16 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 55
C : 16 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 51
C : 17 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 58
C : 17 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 55
C : 17 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 51
C : 18 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 57
C : 18 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 54
C : 18 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 51
