C :16 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 64
C :16 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :16 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :16 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 59
C :16 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 60
C :16 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 61
C :16 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 63
C :16 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 65
C :16 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 66
C :16 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 67
C :17 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 63
C :17 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :17 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :17 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 59
C :17 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 60
C :17 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 61
C :17 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 63
C :17 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 65
C :17 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 66
C :17 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 67
C :18 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 63
C :18 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :18 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :18 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 58
C :18 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 60
C :18 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 61
C :18 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 63
C :18 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 65
C :18 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 65
C :18 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 66
C :19 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 64
C :19 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :19 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :19 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 58
C :19 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 60
